Index,Name,Text
1,,"(정문 앞에 멈춰 선다. 들뜬 숨, 퀴퀴한 밤의 기운이 걷히고, 따스한 바람이 불어온다.)"
2,사오리,"""...끝난 건가..."""
3,,"(그 순간, 뒤에서 익숙한 발소리. 히메코가 서 있다.)"
4,,(햇빛에 반사되어 반투명하게 보인다. 하지만 그 존재감은 분명하다.)
5,히메코,"""그걸로 끝일 줄 알았어?"""
6,,(뒤돌아 히메코를 마주본다. 빛 속에서도 여전히 그녀의 눈빛은 차갑다.)
7,사오리,"""...아니. 아직 해야 할 말이 있어."""
8,히메코,"""그래? 또 변명하려고?"""
9,,(고개를 든다. 눈은 붉지만 흔들림 없이 그녀를 바라본다.)
10,사오리,"""나… 널 괴롭혔어. 모두 앞에서. 가장 심하게."
11,사오리,"애들이 널 피할까봐 두려워서, 나까지 왕따당할까봐…"
12,사오리,"그래서 먼저 너를 밀었어. 때렸고, 웃었고, 조롱했어."""
13,,"(말없이 사오리를 바라본다. 차분하게, 하지만 슬프게.)"
14,히메코,"""그런데 지금은? 후회한다고 말하면 다 끝나는 거야?"""
15,사오리,"""아니. 아무것도 끝나지 않아."
16,사오리,"너는 죽었고, 나는 살아있고, 그건 영원히 바뀌지 않아."
17,사오리,그래도… 매일 이 죄책감 안고 살게.
18,사오리,"네가 고통스러웠던 날들을, 내가 만들었단 걸 평생 잊지 않을 거야."""
19,,(사오리는 두 손을 가슴 앞에서 꼭 쥔다. 눈물이 흘러도 고개를 숙이지 않는다.)
20,사오리,"""진심으로… 미안해, 히메코."
21,사오리,"내가 만든 그 지옥 속에서, 너 혼자였잖아."
22,사오리,"나 같은 친구 둬서… 미안해."""
23,,(침묵. 히메코는 그 자리에 가만히 선다.)
24,,"(작게 웃는다. 이전보다 훨씬 조용하고, 따뜻한 미소.)"
25,히메코,"""...네가 날 제대로 본 건, 지금이 처음이네."""
26,,(햇살이 점점 더 강해진다. 히메코의 모습이 빛에 스며들 듯 흐릿해진다.)
27,히메코,"""이제야… 놓아줄 수 있을 것 같아."
28,히메코,"내가 원했던 건… 누군가, 너, 그 누구라도… 진심으로 사과하는 거였어."""
29,사오리,"""그럼… 넌 이제 자유로워?"""
30,,(고개를 끄덕인다. 바람에 긴 머리카락이 흩날린다.)
31,히메코,"""너도 마찬가지야. 과거에 지지 말고… 제대로 살아."""
32,,(히메코의 모습이 햇살 속에서 완전히 사라진다.)
